name,maker,size_mm,weight_g,price_yen,hook_size,lure_type,range_min_cm,range_max_cm,swim_posture,action,speed_range,casting_distance,bachi_types,youtube_url,amazon_url,rakuten_url,rating,comment
ノガレ120F,ピックアップ,120,6.5,2200,#12,floating,0,2,horizontal,I字,all,short,"river,harbor,kurukuru",https://youtu.be/CE01jM_H5fY?si=OCASnq36mR24vOiz,https://www.amazon.co.jp/s?k=%E3%83%8E%E3%82%AC%E3%83%AC120F&tag=bachilure-22,https://hb.afl.rakuten.co.jp/hgc/3a0b5c9c.7de4b1ee.3a0b5c9d.e6b2f811/?pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%25E3%2583%258E%25E3%2582%25AC%25E3%2583%25AC120F%2F&link_type=text&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6InRleHQiLCJjb2wiOjF9,5,"表層引き波系ルアーの傑作。どのスピードで、どの角度でまいても釣れる引き波を出せるのが強み。エリア10はロッドを立てて角度をつけないと良い引き波がでないがノガレは誰でも同じアクションが出せるので釣れるし売れていると思われる。アクションはデッドスローからファストリトリーブまでアクションは破綻しない。川バチからくるくるバチまで対応可能。くるくるバチだとサイズがミスマッチのように見えるが問題なく出るケースも多い。川バチ時は160もおすすめ。フックが４つ付いているので数釣りが期待できる状況のときはフックを外すのと、フック交換に時間が取られるので使わないようにしている。
表層引き波系共通だがライズもなくて雰囲気のないときでもボフッと出ることは多いので雰囲気がなくても投げてみるべきルアー。
江東区運河でライズがなくバチもいない時間帯にノガレを入れるとボフッと連発するシーンがあった。その際、他引き波系も入れたが、一発もでなかったので何かしらの差異があると思われる。"
ベイルーフ マニック95,デュオ,95,8,1650,#10,sinking,0,10,tail_down,くねり,"medium,fast",long,"river,harbor,kurukuru",https://www.youtube.com/watch?v=S_Dk_RYMiTo,https://www.amazon.co.jp/s?k=%E3%83%99%E3%82%A4%E3%83%AB%E3%83%BC%E3%83%95%20%E3%83%9E%E3%83%8B%E3%83%83%E3%82%AF95&tag=bachilure-22,https://hb.afl.rakuten.co.jp/hgc/3a0b5c9c.7de4b1ee.3a0b5c9d.e6b2f811/?pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%25E3%2583%2599%25E3%2582%25A4%25E3%2583%25AB%25E3%2583%25BC%25E3%2583%2595%2520%25E3%2583%259E%25E3%2583%258B%25E3%2583%2583%25E3%2582%25AF95%2F&link_type=text&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6InRleHQiLCJjb2wiOjF9,3,"バチ抜け大人気ルアー。飛距離が出て、浮き上がりが早いのが特徴。シンペンとしては珍しいローリングアクション。「マニックムーブ」というらしい。管理人はリア下がりの姿勢とフォールスピードが早いことが気に入らず、あまり使っていない。
底バチ用に135サイズも購入したが、浮き上がりが早いので中層以下を安定してまくことが出来ず、結局使っていない。飛ぶことと釣れることは明白なので微妙なローリングが効くタイミングを私が分かっていないと思われる。"
モアザン スライ95F,ダイワ,95,6.8,1760,#8,floating,0,10,horizontal,I字,"slow,medium",medium,harbor,https://www.youtube.com/watch?v=E3Uwx7h07nc,https://www.amazon.co.jp/s?k=%E3%83%A2%E3%82%A2%E3%82%B6%E3%83%B3%20%E3%82%B9%E3%83%A9%E3%82%A495F&tag=bachilure-22,https://hb.afl.rakuten.co.jp/hgc/3a0b5c9c.7de4b1ee.3a0b5c9d.e6b2f811/?pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%25E3%2583%25A2%25E3%2582%25A2%25E3%2582%25B6%25E3%2583%25B3%2520%25E3%2582%25B9%25E3%2583%25A9%25E3%2582%25A495F%2F&link_type=text&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6InRleHQiLCJjb2wiOjF9,4,"表層引き波系ルアーの優等生。表層引き波系だと参照ルアーがエリア10になるが、95Fについてはエリア10との差別化要素を管理人は見いだせていない。エリア10はキャスト後ウエイトを戻す必要があるが、スライはそのままでOK。
サイズ展開が豊富であるのが私の中でのエリア10との明確な差別化要素。川バチのオープンエリアにおいての表層系として125Fはよく使う。バチ抜けルアーというよりは大野ゆうき氏が「the Fishing」で披露したポッピングアクションを入れることによりイナッコボイルを攻略した表層引き波系ルアーを利用した釣り方の革命を起こしたルアーのイメージ。確かその時はスライ110Fを使っていた記憶。もちろん真似して難攻不落のイナッコボイルがこんなふうに釣れるんだと感動した記憶。"
モアザン ヒソカ120F,ダイワ,120,10,1980,#10,floating,2,20,horizontal,テールスイング,all,medium,"river,harbor,kurukuru",https://www.youtube.com/watch?v=dDWhcqgZXG0,https://www.amazon.co.jp/s?k=%E3%83%A2%E3%82%A2%E3%82%B6%E3%83%B3%20%E3%83%92%E3%82%BD%E3%82%AB120F&tag=bachilure-22,https://hb.afl.rakuten.co.jp/hgc/3a0b5c9c.7de4b1ee.3a0b5c9d.e6b2f811/?pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%25E3%2583%25A2%25E3%2582%25A2%25E3%2582%25B6%25E3%2583%25B3%2520%25E3%2583%2592%25E3%2582%25BD%25E3%2582%25AB120F%2F&link_type=text&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6InRleHQiLCJjb2wiOjF9,4,リップ付き水面直下バチルアー。水面直下を長細いルアーで安定的に引けるというところが発明。小沼氏のプロデュースルアーの良いところは誰が使っても同じアクションが出せるところ。表層引き波のノガレ、水面直下のヒソカと綺麗な使い分けが可能。足場が高くとも水面直下を引いてこられるので使い勝手が良い。アクションはわずかなテールスイング、他水面直下ルアーに比べてアクションが固い印象もあるが良く釣れる。
アルデンテ70S,アイマ,70,4,1760,#12,sinking,0,5,horizontal,I字,all,short,"harbor,kurukuru",https://www.youtube.com/watch?v=jy5Lg_Mw2yk,https://www.amazon.co.jp/s?k=%E3%82%A2%E3%83%AB%E3%83%87%E3%83%B3%E3%83%8695S&tag=bachilure-22,https://hb.afl.rakuten.co.jp/hgc/3a0b5c9c.7de4b1ee.3a0b5c9d.e6b2f811/?pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%25E3%2582%25A2%25E3%2583%25AB%25E3%2583%2587%25E3%2583%25B3%25E3%2583%258695S%2F&link_type=text&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6InRleHQiLCJjb2wiOjF9,5,クルクルバチの特効薬。典型的な水面引き波系ルアー。緩やかにテールが振られる。水面表層系×小型ルアーということで他ルアーとの差別化が出来ている。飛距離は出ないので近距離戦が得意。港区の川幅5メートル程度の水路ではアルデンテとキャロット72Sの独壇場。
エリア10,ガイア,100,9,1100,#8,floating,0,10,horizontal,I字,dead_slow,short,"river,harbor,kurukuru",https://www.youtube.com/watch?v=by_5auq8xdY,https://www.amazon.co.jp/s?k=%E3%82%A8%E3%83%AA%E3%82%A210&tag=bachilure-22,https://hb.afl.rakuten.co.jp/hgc/3a0b5c9c.7de4b1ee.3a0b5c9d.e6b2f811/?pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%25E3%2582%25A8%25E3%2583%25AA%25E3%2582%25A210%2F&link_type=text&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6InRleHQiLCJjb2wiOjF9,5,"バチ抜けのど真ん中ルアー。安くて釣れるのでバチ抜け初心者はまずコレを買うべき。記憶だとバチ抜け用として定着したのは2006年頃。当時バチ抜けといえばにょろにょろ、ワンダー等のシンペンがアングラーのメインルアーであったが、徐々に勢力圏を拡大しバチ抜けで一番売れる、釣れるルアーに。もともとは当時大人気だったルアーメーカー、imaのコモモのダウンサイジング版パクリとして認識されていた。
使い方としては竿を立てての表層引き波系としてのスローリトリーブが基本。竿を下に向けるとレンジがやや入る。それでもハマる時はあるが真価はやはり表層引き波アクション。旧江戸川のあるポイントで超至近距離でライズが出るときに、4.5Mの延べ竿で糸の先にエリテンをつけて流しているだけでいくらでも釣れたことがあった。（かなり楽しいのでおすすめ）他のルアーでもほっとけで試して釣れているルアーはいくつかあるが、放置しても釣れるルアーというのがバチ抜け表層系で釣れるルアーであると考えている。管理人は今はなきキャスティング北葛西のオリカラ、バーニングレッド（確か）を愛用していたが、他の色でも同じように釣れる。
フックサイズを6番にあげて浮力をなくすが浮かすチューニングは表層系と水面系の間をいれられるのでおすすめ。港湾引き波系バチが最適で川だとアピール度が弱く、クルクルにもあまり強い印象がない。"
エリア10 EVO,ガイア,100,11.5,1375,#8,sinking,5,30,horizontal,I字,dead_slow,medium,"river,harbor,kurukuru",https://www.youtube.com/watch?v=KvsYMJcIqd8,https://www.amazon.co.jp/s?k=%E3%82%A8%E3%83%AA%E3%82%A210%20EVO&tag=bachilure-22,https://hb.afl.rakuten.co.jp/hgc/3a0b5c9c.7de4b1ee.3a0b5c9d.e6b2f811/?pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%25E3%2582%25A8%25E3%2583%25AA%25E3%2582%25A210%2520EVO%2F&link_type=text&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6InRleHQiLCJjb2wiOjF9,2,"エリテンのシンキングバージョン。よく使うシチュエーションはシーズン初期の川バチ。レンジが入って流れに乗せられるルアーがあまりないのでその一つとして使用。泳ぎがノーマルエリテンよりだいぶおとなしい印象なのを利用して、ドリフトで流れの中にいれる使い方をしている。よくいわれる飛距離だがエリテンと比較したら飛ぶがいうほどではない。
管理人の使い方でのライバルはサスケSS。サスケのほうがレンジを安定していれられるので積極的にEVOは投入していない。"
リードフィール120SG,パズデザイン,120,9.5,1650,#12,sinking,0,15,horizontal,テールスイング,all,medium,"river,harbor,kurukuru",https://www.youtube.com/watch?v=9841mKDTOZo,https://www.amazon.co.jp/s?k=%E3%83%AA%E3%83%BC%E3%83%89%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB120SG&tag=bachilure-22,https://hb.afl.rakuten.co.jp/hgc/3a0b5c9c.7de4b1ee.3a0b5c9d.e6b2f811/?pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%25E3%2583%25AA%25E3%2583%25BC%25E3%2583%2589%25E3%2583%2595%25E3%2582%25A3%25E3%2583%25BC%25E3%2583%25AB120SG%2F&link_type=text&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6InRleHQiLCJjb2wiOjF9,5,"シンペン系の基本がにょろにょろだとすると、にょろにょろの進化版がフィール。私のシンペン系エースの座を占める。4本針仕様としてのバチ抜けルアーはこれが初ではないか。低速から高速域まで非常になまめかしく泳ぐ。川バチからクルクルバチまですべて釣れる。クルクルでは竿先さげて若干レンジいれてやって1秒2回転を目安に早巻くとドンっときます。
サイズ展開あるが120でカバーできる。SG（シンキング）がおすすめ。ノーマル素材かハスラー（ボーン素材）かだがハスラーのほうが若干軽くて（120サイズだと10gと9.5gの差）若干アクションがキビキビする。較べれば分かる程度で大きな違いはない。フックサイズを調整したとき程度の差異。どちらも良く釣れるのでここはお好みで。
シンペン型なのに水平姿勢でゆらゆらスローに沈んでいくのも好きなポイント。コラムに書きますがこの特性を活かした釣り方もあります。これも小沼氏プロデュースだった記憶。まちがってたら訂正してください。"
にょろにょろ85,ジャクソン,85,7,1320,#10,sinking,0,10,tail_down,テールスイング,"slow,medium",medium,"harbor,kurukuru",https://www.youtube.com/watch?v=bFts17bnIZA,https://www.amazon.co.jp/s?k=%E3%81%AB%E3%82%87%E3%82%8D%E3%81%AB%E3%82%87%E3%82%8D%2085&tag=bachilure-22,https://hb.afl.rakuten.co.jp/hgc/3a0b5c9c.7de4b1ee.3a0b5c9d.e6b2f811/?pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%25E3%2581%25AB%25E3%2582%2587%25E3%2582%258D%25E3%2581%25AB%25E3%2582%2587%25E3%2582%258D85%2F&link_type=text&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6InRleHQiLCJjb2wiOjF9,4,"元祖バチ抜けルアー。発売当初誰もがこれならバチ抜けで釣れると思えたシルエットと泳ぎ。泳ぎはなまめかしく、フォール姿勢も平行、泳ぎ姿勢はやや尻下がり。一番小さいサイズは長さに対して軽めで表層ゆっくり引きに最適。いまだに愛用しているルアー。当時ソルトアンドストリームという雑誌があり、にょろにょろが効くバチ抜けの聖地ポイントとして浦安境川が紹介されていた。そのときはびっちり並んで全員がにょろにょろを投げていた思い出。
ゆったりと沈むのでドリフトの釣りにもおすすめ。1月の旧江戸川で定点でバチを食っている大きなシーバスがいるとき、コモモ、コモモカウンター、裂波をつかう周りが釣れない中、サスケSSでも反応せずにょろにょろのドリフトにだけ反応したこともあった。（フックが伸ばされてしまうのでおすすめはしない）"
にょろにょろ125,ジャクソン,125,14,1485,#10,sinking,0,20,tail_down,テールスイング,medium,medium,"harbor,kurukuru",https://www.youtube.com/watch?v=nQK0tGD10w0,https://www.amazon.co.jp/s?k=%E3%81%AB%E3%82%87%E3%82%8D%E3%81%AB%E3%82%87%E3%82%8D%20125&tag=bachilure-22,https://hb.afl.rakuten.co.jp/hgc/3a0b5c9c.7de4b1ee.3a0b5c9d.e6b2f811/?pc=https%3A%2F%2Fsearch.rakuten.co.jp%2Fsearch%2Fmall%2F%25E3%2581%25AB%25E3%2582%2587%25E3%2582%258D%25E3%2581%25AB%25E3%2582%2587%25E3%2582%258D125%2F&link_type=text&ut=eyJwYWdlIjoidXJsIiwidHlwZSI6InRleHQiLCJjb2wiOjF9,4,"いまいち人気がないが良く釣れるルアー。重くフォールスピードが早いので竿を立ててまいても水面直下は引けずにそれより下のレンジを釣ることになる。港湾バチで他のルアーが釣れないときにこれを入れると釣れることがよくある。足場が高い場所でもレンジを引いてこれるので安定している。
以前はバチルアーとしてのロングサイズだったので特異な位置にいたが近頃は120mmが定番してきてしまったので、本ルアーの爆発力はやや落ちてきていると感じている。"
